,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,,
,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,,
,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,,
,,,,,PLACEMENT REPORT (2020-21),,,,,,,,,,,,
,,,,,,Students Placement (Company Wise),,,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,Total Salary
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,ME,,,,,Sal. LPA,Visit Date,
,,,,,,,,BE,IT,ME,CE,ME,IT,,,,LPA
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,E&TC,,M,F,T,,,
,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,
1,Trilogy Innovations,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,31,27/07/20,0
2,Deutsche Bank,7.95,All (UG),7,3,0,0,3,NA,NA,NA,9,4,13,19.63,28/07/20,255.19
3 (a),ZS Associates,6.5,All (UG),9,5,5,1,4,NA,NA,NA,16,8,24,8.93,29/07/20,214.32
3 (b),ZS Associates,PPO,All (UG),0,1,2,0,2,NA,NA,NA,2,3,5,8.93,PPO,44.65
4,Rakuten,7.5,All (UG and PG),0,0,0,0,0,0,0,0,0,0,0,36.14,31/07/20,0
5,Icertis,7.38,CE & IT (UG),5,0,NA,NA,1,NA,NA,NA,2,4,6,8,01/08/20,48
6,Espressif Systems,NC,All (UG and PG),1,0,0,0,2,0,0,0,1,2,3,12,03/08/20,36
7,Avaya,7.95,All (UG),4,0,0,0,1,NA,NA,NA,4,1,5,12.07,06/08/20,60.35
8 (a),FinIQ,NC,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,20,07/08/20,20
8 (b),FinIQ,NC,All (UG),4,0,0,0,3,NA,NA,NA,3,4,7,10,07/08/20,70
9,Mastercard,7.5,All (UG),5,2,0,1,6,NA,NA,NA,4,10,14,9.69,17/08/20,135.66
10,ION Group,6.82,All (UG) and CE & IT (PG),2,0,1,0,2,0,NA,0,3,2,5,12,21/08/20,60
11,PubMatic,7.38,CE & IT (UG and PG),1,0,NA,NA,0,0,NA,0,1,0,1,9.52,24/08/20,9.52
12 (a),UBS,7.95,All (UG),2,1,0,0,0,NA,NA,NA,2,1,3,10,27/08/20,30
12 (b),UBS,PPO,All (UG),2,0,0,0,1,NA,NA,NA,3,0,3,10,PPO,30
13,Veritas Technologies,6.82,CE & IT (UG),1,0,NA,NA,1,NA,NA,NA,1,1,2,11.34,30/08/20,22.68
14,Deqode,NC,CE & IT (UG),0,0,NA,NA,2,NA,NA,NA,2,0,2,6.5,02/09/20,13
15 (a),Barclays,6.82,CE & IT (UG),13,1,NA,NA,19,NA,NA,NA,18,15,33,8,02/09/20,264
15 (b),Barclays,PPO,CE & IT (UG),0,1,NA,NA,0,NA,NA,NA,1,0,1,8,PPO,8
16 (a),Persistent,6.82,CE & IT (UG),2,0,NA,NA,2,NA,NA,NA,4,0,4,6.41,03/09/20,25.64
16 (b),Persistent,PPO,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,1,0,1,6.41,PPO,6.41
17 (a),L & T Infotech,6.82,All (UG),0,0,0,0,1,NA,NA,NA,1,0,1,10,10/05/21,10
17 (b),L & T Infotech,6.82,All (UG),0,0,2,0,1,NA,NA,NA,3,0,3,8,10/05/21,24
17 (c),L & T Infotech,6.82,All (UG),1,0,4,0,0,NA,NA,NA,5,0,5,6.5,08/09/20,32.5
17 (d),L & T Infotech,6.82,All (UG),6,0,9,5,2,NA,NA,NA,14,8,22,5,08/09/20,110
18,Amdocs,6.82,All (UG and PG),1,5,16,3,5,0,0,0,20,10,30,5,10/09/20,150
19,IDeaS A SAS,8,CE & IT (UG),2,0,NA,NA,0,NA,NA,NA,2,0,2,9,14/09/20,18
20,RackWare Technologies,8.5,All (UG),6,0,0,0,0,NA,NA,NA,6,0,6,9,17/09/20,54
21,Accenture,7.38,All (UG),0,0,2,0,0,NA,NA,NA,1,1,2,6.5,22/09/20,13
22,Sedemac Mechatronics,7,E&TC (UG),NA,NA,1,0,NA,NA,NA,NA,1,0,1,9,23/09/20,9
23,Avalara Technologies,NC,CE & IT (UG - Female),0,0,NA,NA,0,NA,NA,NA,0,0,0,22,24/09/20,0
24,Siemens,7.95,All (UG and PG),5,0,0,0,2,0,0,0,7,0,7,9,29/09/20,63
25,TCS Digital,7.95,All (UG and PG),11,1,10,2,5,0,0,0,21,8,29,7,04/10/20,203
26,udChalo,6.5,All (UG),2,0,0,0,2,NA,NA,NA,4,0,4,6.35,05/10/20,25.4
27,Quantiphi,7.38,All (UG) & CE (PG),4,0,0,0,5,0,NA,NA,7,2,9,8.5,07/10/20,76.5
28,PhonePe,7.5,All (UG and PG),1,0,0,0,0,0,0,0,0,1,1,30.5,14/10/20,30.5
29,Cognizant,6.82,All (UG and PG),0,0,0,0,1,0,0,0,1,0,1,6.75,15/10/20,6.75
30,Arista Networks,8,All (UG),1,0,0,0,1,NA,NA,NA,2,0,2,15.5,19/10/20,31
31,NICE Systems,6.82,CE & IT (UG),7,0,NA,NA,5,NA,NA,NA,8,4,12,7.25,27/10/20,87
32,CrowdStrike,7.95,CE & IT (UG and PG),1,0,NA,NA,0,0,NA,0,1,0,1,12.65,30/10/20,12.65
33,CakeSoft Technologies,8,All (UG),4,1,0,0,4,NA,NA,NA,8,1,9,12,07/11/20,108
34,Sophos,6.82,All (UG),3,0,1,1,3,NA,NA,NA,6,2,8,6.3,19/11/20,50.4
35,Purplle.com,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,6.5,23/11/20,0
36,Valuence Holdings,NC,All (UG and PG),2,0,0,0,0,0,0,0,1,1,2,21.22,28/11/20,42.44
37,AlefEdge,6.82,All (UG),4,1,1,0,1,NA,NA,NA,6,1,7,7.04,30/11/20,49.28
38,Infogen Labs,6.82,CE & IT (UG),5,0,NA,NA,0,NA,NA,NA,3,2,5,5,07/12/20,25
39,Kylas,6.82,All (UG and PG),1,1,0,0,2,0,0,0,3,1,4,13.11,10/12/20,52.44
40,bizAmica Software,7.5,CE & IT (UG),0,0,NA,NA,2,NA,NA,NA,2,0,2,6,12/12/20,12
41,Hitachi Vantara,7.95,CE & IT (UG and PG),0,0,NA,NA,0,0,NA,0,0,0,0,6.5,13/12/20,0
42,Salesforce,7.95,CE & IT (UG - Female),1,1,NA,NA,0,NA,NA,NA,0,2,2,8.57,16/12/20,17.14
43,Hexaware Technologies,6.82,All (UG),0,2,1,0,0,NA,NA,NA,2,1,3,5,18/12/20,15
44,Medly Pharmacy,6.82,CE & IT (UG and PG),1,1,NA,NA,1,0,NA,0,3,0,3,7,21/12/20,21
45,HSBC,6.82,All (UG),11,4,7,2,9,NA,NA,NA,26,7,33,7,23/12/20,231
46 (a),eQ Technologic,6.82,All (UG),5,0,0,0,7,NA,NA,NA,10,2,12,8.5,06/01/21,102
