"Society for Computer Technology and Research’s
PUNE INSTITUTE OF COMPUTER TECHNOLOGY
S.No. 27,Dhankawadi, Pune Satara Road, Pune 411043.
PLACEMENT REPORT (AY: 2019-20)",,,,,,,,,,,,,,,,,,
Students Placement (Companywise),,,,,,,,,,,,,,,,,,
SrNo,Company,"Criteria ( CGPA &
Branches)",,UG,,,,,PG,,,Total,,,Sal. LPA,Visit Date,"Total
Salary
LPA",
,,,,BE CE,,BE E&TC,,BE IT,ME CE,ME E&TC,ME IT,,,,,,,
,,,,,,,,,,,,M,F,T,,,,
Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,,,,,,,
1,Deutsche Bank,7.95,All (UG),5,2,0,0,5,NA,NA,NA,9,3,12,14.3,28/06/19,171.6,
2,Espressif,8,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,10,29/06/19,10,
3,Siemens,7.95,All (UG),7,2,1,0,0,NA,NA,NA,5,5,10,9,02/07/19,90,
4,Ittiam,7.95,All (UG and PG),0,0,0,0,1,0,0,0,1,0,1,10.9,04/07/19,10.9,
5,ACI Worldwide,8,CE & I T (UG),11,3,NA,NA,3,NA,NA,NA,13,4,17,8,11/07/19,136,
6(a),eQ Technologic,6.25,All (UG),5,0,2,1,2,NA,NA,NA,7,3,10,8.5,11/07/19,85,
6(b),eQ Technologic,6.25,All (UG),0,0,7,2,0,NA,NA,NA,3,6,9,7.5,11/07/19,67.5,
7,Wissen Technology,7.5,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,12,05/07/19,12,
8,Veritas,6.82,CE & I T (UG),3,0,NA,NA,0,NA,NA,NA,3,0,3,10.75,18/07/19,32.25,
9,ZS Associates,6.82,All (UG),6,3,4,1,5,NA,NA,NA,13,6,19,8.9,11/07/19,169.1,
10(a),FinIQ,6.82,All(UG),1,0,0,0,1,NA,NA,NA,1,1,2,11.5,19/07/19,23,
10(b),FinIQ,6.82,All (UG),1,2,1,0,1,NA,NA,NA,3,2,5,9.5,19/07/19,47.5,
11,Sapient,6.82,All (UG),2,0,0,1,3,NA,NA,NA,6,0,6,8.5,22/07/19,51,
12,CLSA,6.82,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,8.5,24/07/19,0,
13,Avaya,8,All (UG and PG),0,0,1,0,2,0,0,0,2,1,3,12,27/07/19,36,
14,UBS,7.95,All (UG),4,2,0,0,2,NA,NA,NA,6,2,8,8.5,28/07/19,68,
15,TCS Digital,7.95,All (UG/PG),2,1,2,0,0,0,0,0,5,0,5,7,05/07/19,35,
16,PhonePe,7.95,All (UG),1,0,0,0,2,NA,NA,NA,3,0,3,38,29/07/19,114,
17,Codenation,NC,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,0,15/07/19,0,
