,,,,,,Society for Computer Technology and Research’s,,,,,,,,,,,
,,,,,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,,,,,,,,,,,,
,,,,,,"S. No. 27, Dhankawadi, Pune Satara Road, Pune- 411043",,,,,,,,,,,
,,,,,,PLACEMENT REPORT (2021-22),,,,,,,,,,,
,,,,,,,Students Placement (Company Wise),,,,,,,,,,
,,,,,,UG,,,,PG,,,,,,,
,,,,,,,,,,,,,Total,,,,
Sr. No.,Company,Criteria (CGPA & Branches),,BE CE,,BE E&TC,,,,,,,,,Sal. LPA,Visit Date,Total Salary LPA
,,,,,,,,BE IT,ME CE,ME E&TC,ME IT,,,,,,
,,,,Shift 1,Shift 2,Shift 1,Shift 2,,,,,M,F,T,,,
,,,,,Group I: Niche Companies (Salary above 5.0 LPA),,,,,,,,,,,,
1,Lowe's India,PPO,All (UG),0,0,1,0,0,NA,NA,NA,0,1,1,19.34,PPO,19.34
2,TCS Digital,7.95,All (UG and PG),1,0,4,1,1,NA,NA,NA,4,3,7,7.01,23-07-21,49.07
3,PhonePe,7.5,All (UG and PG),3,0,0,0,0,0,0,0,3,0,3,30.5,28-07-21,91.5
4 (a),Deutsche Bank,PPO,All (UG),2,0,0,0,1,NA,NA,NA,2,1,3,19.63,PPO,58.89
4 (b),Deutsche Bank,7.95,All (UG),6,0,0,0,1,NA,NA,NA,6,1,7,19.63,29-07-21,137.41
5,Trilogy Innovations,NC,All (UG and PG),0,0,0,0,1,0,0,0,1,0,1,36.5,29-07-21,36.5
6,Espressif Systems,8,All (UG and PG),5,0,1,0,0,0,NA,0,6,0,6,18.9,31-07-21,113.4
7,Bajaj Finance,NC,All (UG),33,7,15,5,23,NA,NA,NA,68,15,83,12,01-08-21,996
8,Credit Suisse,PPO,CE & IT (UG),1,1,NA,NA,3,NA,NA,NA,3,2,5,13.59,PPO,67.95
9,Sandvine,7.5,All (UG),1,0,0,0,0,NA,NA,NA,1,0,1,15.25,03-08-21,15.25
10 (a),RBL Bank,PPO,CE & IT (UG),1,0,NA,NA,0,NA,NA,NA,0,1,1,9,PPO,9
10 (b),RBL Bank,NC,All (UG),1,0,4,0,3,NA,NA,NA,2,6,8,9,04-01-22,72
11 (a),ZS Associates,PPO,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,12.5,PPO,12.5
11 (b),ZS Associates,6.5,All (UG),3,1,5,1,7,NA,NA,NA,7,10,17,12.5,10-08-21,212.5
12,Avaya,7.5,All (UG),4,2,0,0,6,NA,NA,NA,10,2,12,12.07,05-08-21,144.84
13,FinIQ,NC,CE & IT (UG),2,0,NA,NA,2,NA,NA,NA,2,2,4,16.3,06-08-21,65.2
14,Siemens,7.5,CE & IT (UG & PG),5,1,3,0,7,0,0,0,8,8,16,11,09-08-21,176
15 (a),UBS,PPO,All (UG),2,1,0,0,0,NA,NA,NA,3,0,3,10,PPO,30
15 (b),UBS,7,All (UG),5,1,0,0,6,NA,NA,NA,10,4,14,10,09-08-21,140
16,Schlumberger,PPO,All (UG),0,2,1,1,1,NA,NA,NA,0,5,5,9.58,PPO,47.9
17 (a),Arista Networks,PPO,All (UG),0,0,0,0,0,NA,NA,NA,0,0,0,21.5,PPO,0
17 (b),Arista Networks,8,All (UG),3,0,0,0,1,NA,NA,NA,4,0,4,21.5,10-09-21,86
18,BMC Software,6.82,All (UG),3,0,0,0,2,NA,NA,NA,5,0,5,12.5,14-08-21,62.5
19 (a),Persistent,6.82,CE & IT (UG),0,0,NA,NA,0,NA,NA,NA,0,0,0,12.41,24-08-21,0
19 (b),Persistent,6.82,All (UG),1,2,0,0,3,NA,NA,NA,5,1,6,9,24-08-21,54
19 (c),Persistent,6.82,All (UG),7,4,2,1,16,NA,NA,NA,17,13,30,7.5,24-08-21,225
20,Mastercard,7.5,All (UG),2,0,3,0,6,NA,NA,NA,6,5,11,9.69,14-08-21,106.59
21,Platform 9,6.82,All (UG),1,1,0,0,1,NA,NA,NA,2,1,3,14,15-08-21,42
22 (a),EQ Technologic,6.82,All (UG),5,1,1,0,4,NA,NA,NA,9,2,11,11.89,19-08-21,130.79
22 (b),EQ Technologic,6.82,E&TC (UG),NA,NA,3,2,NA,NA,NA,NA,4,1,5,10.22,19-08-21,51.1
23,Tavisca Solutions,7.38,CE & IT (UG),2,2,NA,NA,2,NA,NA,NA,5,1,6,14,16-08-21,84
24,Adobe,PPO,All (UG),1,0,0,0,0,NA,NA,NA,0,1,1,40.92,PPO,40.92
25,Pubmatic,7.38,CE & IT (UG & PG),1,0,NA,NA,0,NA,NA,NA,1,0,1,11.62,25-08-21,11.62
26,Veritas,6.82,CE & IT (UG),1,1,NA,NA,0,NA,NA,NA,2,0,2,11.75,27-08-21,23.5
27,NICE Systems,6.5,All (UG),3,1,8,1,7,NA,NA,NA,13,7,20,7.5,30-08-21,150
28,Barclays,6.82,CE & IT (UG),11,6,NA,NA,15,NA,NA,NA,23,9,32,12.73,26-08-21,407.36
29,Toshiba,7.95,IT(UG),NA,NA,NA,NA,3,NA,NA,NA,2,1,3,9,01-09-21,27
30,ION,6.82,All (UG),4,2,2,0,2,NA,NA,NA,7,3,10,14.1,01-09-21,141
31,Aspect Ratio,NC,All (UG),1,0,1,0,0,NA,NA,NA,2,0,2,10,02-09-21,20
32,Paytm Money,7.95,CE & IT (UG & PG),7,2,NA,NA,2,0,0,0,10,1,11,16,29-08-21,176
33,Acquia,6.82,CE & IT (UG),1,1,NA,NA,3,NA,NA,NA,1,4,5,8,08-09-21,40
34,Druva,7,CE & IT (UG),4,1,NA,NA,5,NA,NA,NA,8,2,10,15,15-09-21,150
35,Elastic Run,8,CE & IT (UG & PG),1,0,NA,NA,1,NA,NA,NA,1,1,2,8,18-09-21,16
36,OFSS,7,All (UG and PG),3,0,5,5,1,0,0,0,11,3,14,6.56,13-09-21,91.84
37(a),LTI,6.82,All (UG),0,0,1,1,0,NA,NA,NA,2,0,2,5,11-09-21,10
37(b),LTI,6.82,All (UG),0,0,2,0,0,NA,NA,NA,0,2,2,6.5,11-09-21,13
37(c),LTI,6.82,All (UG),0,0,1,0,0,NA,NA,NA,1,0,1,8,11-09-21,8
38,Infogen Labs,6,CE & IT (UG),6,0,NA,NA,5,NA,NA,NA,7,4,11,8,08-09-21,88
39,Interactive Brokers,7.4,All (UG and PG),0,1,0,0,0,0,0,0,1,0,1,9.35,20-08-21,9.35
40(a),Sell.do,8,CE & IT (UG),3,0,0,0,2,NA,NA,NA,4,1,5,13.26,16-09-21,66.3
40(b),Sell.do,8,CE & IT (UG),0,0,0,0,1,NA,NA,NA,0,1,1,7.8,16-09-21,7.8
41,Ubisoft,NC,All (UG),0,0,0,3,0,NA,NA,NA,1,2,3,7.5,16-09-21,22.5
42,Amdocs,6.82,All (UG),1,1,16,8,3,NA,NA,NA,15,14,29,6,24-09-21,174
43,Deloitte,6.5,All (UG),2,1,2,0,2,NA,NA,NA,4,3,7,7.6,28-09-21,53.2
44,IDeaS,8,CE & IT (UG),4,1,NA,NA,0,NA,NA,NA,4,1,5,10.17,04-10-21,50.85
