ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
1,Placement-Report_modified_2019-20.csv,3,eInfochip,2019-20,6.82,All(UG),0,0,0,3,3,0,0,0,3,3,3.6
2,Placement-Report_modified_2019-20.csv,89,Wissen Technology,2019-20,7.5,All (UG),1,1,0,0,0,0,0,1,0,1,12
3,Placement-Report_modified_2019-20.csv,99,Sincro (CDK Global),2019-20,6.25,CE & IT (UG/PG),3,2,1,0,0,0,0,1,2,3,7.75
4,Placement-Report_modified_2019-20.csv,100,Veritas,2019-20,6.82,CE & I T (UG),3,3,0,0,0,0,0,3,0,3,10.75
5,Placement-Report_modified_2019-20.csv,101,Numerator,2019-20,6.82,All (UG),1,1,0,0,0,0,1,2,0,2,6
6,Placement-Report_modified_2019-20.csv,102,Cloudwerx,2019-20,7.5,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,5
7,Placement-Report_modified_2019-20.csv,103,Ubisoft,2019-20,NC,All (UG),0,0,0,0,0,0,0,0,0,0,7
8,Placement-Report_modified_2019-20.csv,104,Schlumberger,2019-20,6.82,All (UG and PG),0,0,0,1,1,0,0,1,0,1,8.8
9,Placement-Report_modified_2019-20.csv,105,STL,2019-20,6.82,All (UG),3,2,1,2,2,0,0,2,3,5,8
10,Placement-Report_modified_2019-20.csv,106,Sagitec,2019-20,6.82,CE & IT (UG),2,2,0,0,0,0,1,1,2,3,5
11,Placement-Report_modified_2019-20.csv,107,Acquia,2019-20,6.82,CE & IT (UG),3,3,0,0,0,0,0,2,1,3,8
12,Placement-Report_modified_2019-20.csv,108,Deeptek,2019-20,NC,CE & IT (UG),1,1,0,0,0,0,0,0,1,1,6.5
13,Placement-Report_modified_2019-20.csv,109,Groww,2019-20,NC,All (UG),2,2,0,0,0,0,0,2,0,2,20
14,Placement-Report_modified_2019-20.csv,110,Druva,2019-20,NC,CE & IT (UG),4,3,1,0,0,0,3,7,0,7,12
