ID,Company_name,year,cgpa_criteria,branch_criteria,ce,entc,it,Male,Female,Total,sal_lpa
1,3EA,2020 -21,6.82,All (UG and PG),0,1,0,1,0,1,6
2,64 Squares,2022-23,6.5,All (UG),3,0,0,3,0,3,9.6
3,64squares,2020 -21,6.82,All (UG),0,1,0,0,1,1,7.5
4,64Squares,2021 -22,6.82,All (UG),0,1,0,1,0,1,7.5
5,ACA Group,2023-24,7,All UG,0,2,0,2,0,2,10
6,Accelya,2023-24,6.82,All UG,1,1,0,2,0,2,7
7,Accenture,2021 -22,NC,All (UG and PG),2,1,0,3,0,3,6.5
8,Accenture,2021 -22,NC,All (UG and PG),0,6,1,2,5,7,4.5
9,Accenture,2020 -21,7.38,All (UG),0,2,0,1,1,2,6.5
10,Accenture,2020 -21,7.38,All (UG),6,11,6,10,13,23,4.5
11,ACI Worldwide,2019-20,8,CE & I T (UG),14,0,3,13,4,17,8
12,ACI Worldwide,2022-23,7,All (UG),9,1,4,9,5,14,12
13,Acquia,2019-20,6.82,CE & IT (UG),3,0,0,2,1,3,8
14,Acquia,2021 -22,6.82,CE & IT (UG),2,0,3,1,4,5,8
15,Acquia,2020 -21,6.82,CE & IT (UG),3,0,6,5,4,9,8.38
16,Acuiti Labs,2023-24,8,All UG,3,2,1,5,1,6,7
17,Acuitilabs,2021 -22,6.82,All(UG),1,0,0,1,0,1,8
18,Adobe,2023-24,0,All UG,1,0,1,0,2,2,47.28
19,Adobe,2022-23,PPO,All (UG),1,0,2,0,3,3,47.27
20,Adobe,2021 -22,PPO,All (UG),1,0,0,0,1,1,40.92
21,ADP,2020 -21,6.82,All (UG - Female),1,0,0,0,1,1,5
22,AGCO,2022-23,7.5,All (UG),1,10,0,7,4,11,7.5
23,Agiliad,2020 -21,7.38,All (UG),3,7,2,5,7,12,4
24,Agiliad Technologies,2022-23,NC,All (UG),0,2,1,0,3,3,5.5
25,Agiliad Technology,2023-24,7.95,ALL UG,0,9,1,10,0,10,5.5
26,AlefEdge,2020 -21,6.82,All (UG),5,1,1,6,1,7,7.04
27,AlefEdge,2019-20,6.82,All(UG),0,0,1,1,0,1,6
28,Aligned Automation,2020 -21,6.82,All (UG),0,2,0,2,0,2,3.75
29,Alpha Sense,2023-24,8,All UG,1,0,1,2,0,2,20
30,Altimetrik,2019-20,7,All(UG),2,4,0,3,3,6,5
31,Altizon,2023-24,7.5,All UG,2,1,2,5,0,5,8.25
32,Altizon Inc.,2020 -21,7,All (UG),2,0,1,2,1,3,8.25
33,Altometa,2022-23,6.5,All (UG),1,1,0,2,0,2,15
34,Altometa,2023-24,PPO,All UG,1,0,0,1,0,1,15
35,Amazon,2021 -22,6.5,All (UG),0,0,1,0,1,1,30.18
36,Amazon,2021 -22,6.5,All (UG),6,1,4,9,2,11,44.14
37,Amazon,2021 -22,PPO,All (UG),1,0,0,1,0,1,112
38,Amdocs,2021 -22,6.82,All (UG),2,24,3,15,14,29,6
39,Amdocs,2019-20,6.82,All UG,2,9,2,10,3,13,5
40,Amdocs,2022-23,NC,All (UG),1,2,2,4,1,5,6.5
41,Amdocs,2023-24,6.62,All UG,9,25,7,37,4,41,6.5
42,Amdocs,2020 -21,6.82,All (UG and PG),6,19,5,20,10,30,5
43,Amura,2019-20,8.5,All(UG),0,0,1,1,0,1,10.5
44,Amura,2019-20,7.38,All(UG),0,0,0,0,0,0,5
45,Amura,2020 -21,6.82,All (UG),0,1,1,1,1,2,4.5
46,Anchanto,2020 -21,6,CE & IT (UG),0,0,0,0,0,0,7.5
47,Apisero,2020 -21,6.5,All (UG and PG),3,7,2,9,3,12,5.1
48,Arista Networks,2020 -21,8,All (UG),1,0,1,2,0,2,15.5
49,Arista Networks,2022-23,7.5,All (UG),2,0,0,2,0,2,28.1
50,Arista Networks,2021 -22,PPO,All (UG),0,0,0,0,0,0,21.5
51,Arista Networks,2021 -22,8,All (UG),3,0,1,4,0,4,21.5
52,Aspect Ratio,2022-23,7,All (UG),1,0,1,2,0,2,14
53,Aspect Ratio,2019-20,7,All(UG),0,1,1,2,0,2,8.5
54,Aspect Ratio,2021 -22,NC,All (UG),1,1,0,2,0,2,10
55,Atlan,2023-24,0,All UG,0,1,0,1,0,1,21
56,Atos,2020 -21,6.82,All (UG),1,3,2,3,3,6,3.1
57,Atos,2021 -22,6.82,All (UG),0,2,0,0,2,2,3.1
58,Avalara Technologies,2020 -21,NC,CE & IT (UG - Female),0,0,0,0,0,0,22
59,Avaya,2019-20,8,All (UG and PG),0,1,2,2,1,3,12
60,Avaya,2021 -22,7.5,All (UG),6,0,6,10,2,12,12.07
61,Avaya,2022-23,8.5,All (UG),3,2,4,8,1,9,12
62,Avaya,2023-24,8.5,All UG,4,0,1,5,0,5,12.5
63,Avaya,2020 -21,7.95,All (UG),4,0,1,4,1,5,12.07
64,Avegen,2022-23,6.81,All (UG),2,0,1,3,0,3,6
65,Ayaan & Symtronics,2023-24,6.82,ALL UG,5,1,0,2,4,6,7.65
66,Ayaan Autonomous,2023-24,0,All UG,1,0,0,1,0,1,8
67,Ayaan Autonomous,2022-23,6.82,All (UG),2,0,2,2,2,4,6.35
68,Bajaj Finance,2021 -22,NC,All (UG),40,20,23,68,15,83,12
69,Bajaj Finserv,2022-23,7,All (UG),17,27,8,40,12,52,12.8
70,Bajaj Finserv,2023-24,All,All UG,6,8,4,15,3,18,12.81
71,Bakliwal Tutorials,2023-24,6.82,CS&IT,0,0,0,0,0,0,0
72,Barclays,2022-23,PPO,All (UG),4,0,10,5,9,14,13.32
73,Barclays,2020 -21,PPO,CE & IT (UG),1,0,0,1,0,1,8
74,Barclays,2020 -21,6.82,CE & IT (UG),14,0,19,18,15,33,8
75,Barclays,2019-20,6.82,CE & IT (UG),11,0,4,9,6,15,8
76,Barclays,2023-24,7,All UG,6,1,3,7,3,10,13.32
77,Barclays,2021 -22,6.82,CE & IT (UG),17,0,15,23,9,32,12.73
78,Barclays,2023-24,PPO,All UG,24,0,13,13,24,37,13.32
