unique_id,year,Company_name,cgpa_criteria,deg_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
1,2020 -21,3EA,6.82,UG & PG,All (UG and PG),0,0,1,0,0,1,0,1,6
2,2020 -21,64squares,6.82,UG,All (UG),0,0,1,0,0,0,1,1,7.5
3,2020 -21,Accenture,7.38,UG,All (UG),0,0,2,0,0,1,1,2,6.5
4,2020 -21,Accenture,7.38,UG,All (UG),5,1,7,4,6,10,13,23,4.5
5,2020 -21,Acquia,6.82,UG,CE & IT (UG),1,2,NA,NA,6,5,4,9,8.38
6,2020 -21,ADP,6.82,UG-female,All (UG - Female),1,0,0,0,0,0,1,1,5
7,2020 -21,Agiliad,7.38,UG,All (UG),2,1,5,2,2,5,7,12,4
8,2020 -21,AlefEdge,6.82,UG,All (UG),4,1,1,0,1,6,1,7,7.04
9,2020 -21,Aligned Automation,6.82,UG,All (UG),0,0,2,0,0,2,0,2,3.75
10,2020 -21,Altizon Inc.,7,UG,All (UG),1,1,0,0,1,2,1,3,8.25
11,2020 -21,Amdocs,6.82,UG & PG,All (UG and PG),1,5,16,3,5,20,10,30,5
12,2020 -21,Amura,6.82,UG,All (UG),0,0,1,0,1,1,1,2,4.5
13,2020 -21,Anchanto,6,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,7.5
14,2020 -21,Apisero,6.5,UG & PG,All (UG and PG),3,0,5,2,2,9,3,12,5.1
15,2020 -21,Arista Networks,8,UG,All (UG),1,0,0,0,1,2,0,2,15.5
16,2020 -21,Atos,6.82,UG,All (UG),1,0,2,1,2,3,3,6,3.1
17,2020 -21,Avalara Technologies,NC,UG-female,CE & IT (UG - Female),0,0,NA,NA,0,0,0,0,22
18,2020 -21,Avaya,7.95,UG,All (UG),4,0,0,0,1,4,1,5,12.07
19,2020 -21,Barclays,6.82,UG,CE & IT (UG),13,1,NA,NA,19,18,15,33,8
20,2020 -21,Barclays,PPO,UG,CE & IT (UG),0,1,NA,NA,0,1,0,1,8
21,2020 -21,bizAmica Software,7.5,UG,CE & IT (UG),0,0,NA,NA,2,2,0,2,6
22,2020 -21,BUDDI.AI,NC,UG,All (UG),0,0,0,0,2,2,0,2,7
23,2020 -21,CakeSoft Technologies,8,UG,All (UG),4,1,0,0,4,8,1,9,12
24,2020 -21,Capgemini,6.82,UG,All (UG),0,0,1,5,0,5,1,6,3.8
25,2020 -21,Centiro,7,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,3.8
26,2020 -21,Ciena,7.95,UG,CE & IT (UG),0,0,NA,NA,0,0,0,0,10.5
27,2020 -21,Cloudwerx,7.5,UG,All (UG),0,0,2,0,0,1,1,2,5
28,2020 -21,CLSA,6.82,UG,CE & IT (UG),0,0,NA,NA,1,0,1,1,8
29,2020 -21,Codevita Live,6.82,UG & PG,All (UG and PG),0,0,1,0,0,0,1,1,14.4
30,2020 -21,Cognizant,6.82,UG & PG,All (UG and PG),0,0,0,0,1,1,0,1,6.75
31,2020 -21,Cognizant,6.82,UG & PG,All (UG and PG),4,2,10,4,6,19,7,26,4.01
