company_id,year,Company_name,cgpa_criteria,branch_criteria,ce_shift1,ce_shift2,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
1,2019-20,Deutsche Bank,7.95,All (UG),5,2,0,0,5,9,3,12,14.3
2,2019-20,Espressif,8,All (UG),1,0,0,0,0,1,0,1,10
3,2019-20,Siemens,7.95,All (UG),7,2,1,0,0,5,5,10,9
4,2019-20,Ittiam,7.95,All (UG and PG),0,0,0,0,1,1,0,1,10.9
5,2019-20,ACI Worldwide,8,CE & I T (UG),11,3,NA,NA,3,13,4,17,8
6a,2019-20,eQ Technologic,6.25,All (UG),5,0,2,1,2,7,3,10,8.5
6b,2019-20,eQ Technologic,6.25,All (UG),0,0,7,2,0,3,6,9,7.5
7,2019-20,Wissen Technology,7.5,All (UG),1,0,0,0,0,1,0,1,12
8,2019-20,Veritas,6.82,CE & I T (UG),3,0,NA,NA,0,3,0,3,10.75
9,2019-20,ZS Associates,6.82,All (UG),6,3,4,1,5,13,6,19,8.9
10a,2019-20,FinIQ,6.82,All(UG),1,0,0,0,1,1,1,2,11.5
10b,2019-20,FinIQ,6.82,All (UG),1,2,1,0,1,3,2,5,9.5
11,2019-20,Sapient,6.82,All (UG),2,0,0,1,3,6,0,6,8.5
12,2019-20,CLSA,6.82,All (UG),0,0,0,0,0,0,0,0,8.5
13,2019-20,Avaya,8,All (UG and PG),0,0,1,0,2,2,1,3,12
14,2019-20,UBS,7.95,All (UG),4,2,0,0,2,6,2,8,8.5
15,2019-20,TCS Digital,7.95,All (UG/PG),2,1,2,0,0,5,0,5,7
16,2019-20,PhonePe,7.95,All (UG),1,0,0,0,2,3,0,3,38
17,2019-20,Codenation,NC,All (UG),0,0,0,0,0,0,0,0,0
18,2019-20,Bizreach,NC,All (UG),1,0,0,0,0,0,1,1,32
19,2019-20,Mediaocean,6.82,CE & IT (UG),3,0,NA,NA,2,2,3,5,6
20,2019-20,Musigma,6.82,CE & IT (UG),3,1,NA,NA,2,3,3,6,7
21,2019-20,Aspect Ratio,7,All(UG),0,0,1,0,1,2,0,2,8.5
22,2019-20,Deqode,NC,CE & I T (UG),2,0,NA,NA,1,2,1,3,6.95
23,2019-20,IDeaS A Sas,7,All(UG),1,0,0,0,2,3,0,3,9
24a,2019-20,Quantiphi,7.3,All(UG),1,0,0,0,0,1,0,1,9.5
24b,2019-20,Quantiphi,7.3,All(UG),1,1,2,0,2,3,3,6,8.5
25,2019-20,Icertis,6.82,CE & IT (UG),3,3,NA,NA,1,5,2,7,8
26,2019-20,NICE Systems,6.82,CE & IT (UG),3,1,NA,NA,4,4,4,8,7
